colony_id,species,cells.cm2,timepoint
ACR-414,Acropora,471965.1371754264,JUNE
ACR-415,Acropora,215841.33648791778,JUNE
ACR-416,Acropora,588600.6279724095,JUNE
ACR-417,Acropora,857128.3124100768,JUNE
ACR-418,Acropora,958328.1845704477,JUNE
ACR-420,Acropora,806514.4499442928,JUNE
ACR-421,Acropora,1211766.6494364915,JUNE
ACR-422,Acropora,705244.1631317278,JUNE
ACR-423,Acropora,811658.8286061818,JUNE
ACR-424,Acropora,622056.7354751579,JUNE
ACR-425,Acropora,946166.6576912164,JUNE
ACR-426,Acropora,670776.7358719183,JUNE
ACR-427,Acropora,630737.6361825074,JUNE
ACR-428,Acropora,856694.0321322522,JUNE
ACR-429,Acropora,627222.0975505032,JUNE
ACR-430,Acropora,882347.1601684691,JUNE
ACR-431,Acropora,992195.4030385988,JUNE
ACR-432,Acropora,598929.2577676396,JUNE
ACR-433,Acropora,921652.5602503452,JUNE
ACR-434,Acropora,451737.7606703099,JUNE
ACR-435,Acropora,309623.2006517419,JUNE
ACR-436,Acropora,227312.60748023642,JUNE
ACR-437,Acropora,706534.6364901593,JUNE
ACR-438,Acropora,778282.2268781239,JUNE
ACR-439,Acropora,677465.9922123639,JUNE
ACR-446,Acropora,1131546.471297683,JUNE
ACR-447,Acropora,1037218.1082435725,JUNE
ACR-448,Acropora,691057.2116352415,JUNE
ACR-449,Acropora,987275.0714617427,JUNE
ACR-451,Acropora,713922.5645678418,JUNE
ACR-456,Acropora,525102.7836188655,JUNE
ACR-457,Acropora,639307.342465994,JUNE
ACR-458,Acropora,715795.0266240543,JUNE
ACR-459,Acropora,1214296.2623194393,JUNE
ACR-460,Acropora,1038282.2534886732,JUNE
ACR-461,Acropora,789309.0593834362,JUNE
ACR-462,Acropora,547327.1812290791,JUNE
ACR-463,Acropora,836509.8805787393,JUNE
ACR-464,Acropora,893658.1570356971,JUNE
ACR-465,Acropora,724829.9793597669,JUNE
