"","timepoint","Stage","freq"
"1","April","Stage 0",0.0476190476190477
"2","April","Stage I",0.0238095238095238
"3","April","Stage I",0.119047619047619
"4","April","Stage II",0.119047619047619
"5","April","Stage II",0.0714285714285714
"6","April","Stage II",0.428571428571429
"7","April","Stage II",0.0952380952380952
"8","April","Stage II",0.0238095238095238
"9","April","Stage III",0.0714285714285714
"10","August","Stage II",0.00869565217391304
"11","August","Stage II",0.0173913043478261
"12","August","Stage II",0.0869565217391304
"13","August","Stage II",0.0260869565217391
"14","August","Stage III",0.217391304347826
"15","August","Stage III",0.0347826086956522
"16","August","Stage III",0.182608695652174
"17","August","Stage III",0.0260869565217391
"18","August","Stage III",0.121739130434783
"19","August","Stage IV",0.104347826086957
"20","August","Stage IV",0.0521739130434783
"21","August","Stage IV",0.00869565217391304
"22","August","Stage IV",0.0260869565217391
"23","December","Stage 0",1
"24","February","Stage 0",0.105263157894737
"25","February","Stage I",0.368421052631579
"26","February","Stage I",0.157894736842105
"27","February","Stage I",0.0526315789473684
"28","February","Stage I",0.210526315789474
"29","February","Stage I",0.105263157894737
"30","January","Stage 0",0.333333333333333
"31","January","Stage I",0.166666666666667
"32","January","Stage I",0.25
"33","July","Stage I",0.01
"34","July","Stage II",0.15
"35","July","Stage II",0.03
"36","July","Stage II",0.04
"37","July","Stage II",0.09
"38","July","Stage III",0.25
"39","July","Stage III",0.08
"40","July","Stage III",0.02
"41","July","Stage III",0.22
"42","July","Stage III",0.07
"43","July","Stage III",0.01
"44","July","Stage IV",0.02
"45","July","Stage IV",0.01
"46","June","Stage I",0.0238095238095238
"47","June","Stage I",0.0476190476190476
"48","June","Stage II",0.0476190476190476
"49","June","Stage II",0.0714285714285714
"50","June","Stage II",0.261904761904762
"51","June","Stage III",0.0476190476190476
"52","June","Stage III",0.0714285714285714
"53","June","Stage III",0.19047619047619
"54","March","Stage 0",0.0625
"55","March","Stage I",0.09375
"56","March","Stage I",0.125
"57","March","Stage I",0.15625
"58","March","Stage I",0.0625
"59","March","Stage II",0.40625
"60","March","Stage II",0.03125
"61","May","Stage I",0.025
"62","May","Stage I",0.05
"63","May","Stage II",0.1
"64","May","Stage II",0.075
"65","May","Stage II",0.05
"66","May","Stage II",0.025
"67","May","Stage II",0.325
"68","May","Stage III",0.05
"69","May","Stage III",0.175
"70","October","Stage 0",0.0344827586206896
"71","October","Stage IV",0.241379310344828
"72","October","Stage IV",0.137931034482759
"73","October","Stage IV",0.103448275862069
"74","October","Stage V",0.0689655172413793
"75","October","Stage V",0.172413793103448
"76","October","Stage V",0.0344827586206897
"77","October","Stage V",0.206896551724138
"78","September","Stage 0",0.0128205128205128
"79","September","Stage III",0.0384615384615385
"80","September","Stage III",0.0512820512820513
"81","September","Stage III",0.0641025641025641
"82","September","Stage III",0.0897435897435897
"83","September","Stage IV",0.230769230769231
"84","September","Stage IV",0.0384615384615385
"85","September","Stage IV",0.0897435897435897
"86","September","Stage IV",0.141025641025641
"87","September","Stage IV",0.0641025641025641
"88","September","Stage V",0.0769230769230769
"89","September","Stage V",0.0256410256410256
"90","September","Stage V",0.0384615384615385
